전입지역,가족,교육,기타,자연환경,주거환경,주택,직업
대구광역시,57763,11597,11989,1316,6728,29722,53977
경상북도 구미시,16393,2805,4457,498,1905,9925,24033
경상북도 경산시,16511,5323,6891,921,1724,16120,17049
경상북도 포항시,13137,1571,2463,668,952,6492,16097
울산광역시,13706,1386,2282,337,779,5203,14801
경상북도 경주시,9568,1075,2539,1068,1054,7996,10951
경상북도 칠곡군,7284,710,1490,1005,853,6081,10485
경상북도 영천시,6848,887,2294,1467,1007,3702,9932
경상북도 안동시,5733,2046,1800,514,741,3371,8171
경상북도 김천시,5071,1363,1630,705,567,2729,7604
경상북도 의성군,3483,162,535,818,221,1255,4304
경상북도 성주군,3729,200,860,689,502,2232,4299
경상북도 상주시,3921,1375,641,493,524,2077,3957
경상북도 문경시,2853,610,866,578,468,1149,3639
경상북도 예천군,4090,329,1292,203,548,3617,3585
경상북도 영주시,2893,419,745,204,367,1373,3169
경상북도 울진군,1473,264,313,196,66,433,2748
경상북도 군위군,2046,193,534,839,179,917,2432
경상북도 청도군,2448,368,611,1190,431,1534,2356
경상북도 고령군,2434,202,492,329,232,1963,2097
경상북도 울릉군,648,19,168,106,32,104,2042
경상북도 청송군,1423,199,510,243,349,532,1960
경상북도 영덕군,1672,205,485,354,730,690,1835
경상북도 봉화군,1224,148,228,297,124,439,1441
경상북도 영양군,698,60,169,224,97,226,1009
